strain,date,retail_and_recreation_percent_change_from_baseline,binned_mobility
USA/CA-ALSR-1522/2020,2020-05-02,-52.0,25-50%
USA/CA-CZB-2502/2020,2020-05-24,-42.0,75-100%
USA/CA-ALSR-1072-SAN/2020,2020-06-21,-34.0,75-100%
USA/CA-ALSR-0668-SAN/2020,2020-04-30,-50.0,25-50%
USA/CA-ALSR-0934-SAN/2020,2020-04-30,-50.0,25-50%
USA/CA-ALSR-1791/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-1052-SAN/2020,2020-06-20,-33.0,75-100%
USA/CA-ALSR-1053-SAN/2020,2020-06-20,-33.0,75-100%
USA/CA-ALSR-1302/2020,2020-04-29,-53.0,25-50%
USA/CA-ALSR-1007-SAN/2020,2020-04-08,-49.0,25-50%
USA/CA-ALSR-0489-SAN/2020,2020-04-08,-49.0,25-50%
USA/CA-ALSR-0773-SAN/2020,2020-04-15,-48.0,25-50%
USA/CA-ALSR-1912/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-0999-SAN/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-1208/2020,2020-04-08,-49.0,25-50%
USA/CA-ALSR-0516-SAN/2020,2020-04-08,-49.0,25-50%
USA/CA-ALSR-1209/2020,2020-04-08,-49.0,25-50%
USA/CA-ALSR-1225/2020,2020-04-08,-49.0,25-50%
USA/CA-ALSR-1210/2020,2020-04-08,-49.0,25-50%
USA/CA-ALSR-1027-SAN/2020,2020-04-08,-49.0,25-50%
USA/CA-ALSR-0472-SAN/2020,2020-04-14,-45.0,50-75%
USA/CA-ALSR-1848/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1224/2020,2020-04-15,-48.0,25-50%
USA/CA-ALSR-0921-IPL/2020,2020-04-28,-47.0,50-75%
USA/CA-ALSR-0918-IPL/2020,2020-04-26,-58.0,0-25%
USA/CA-ALSR-0926-IPL/2020,2020-04-26,-58.0,0-25%
USA/CA-ALSR-0566-IPL/2020,2020-05-11,-46.0,50-75%
USA/CA-ALSR-1622/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1061-SAN/2020,2020-06-19,-33.0,75-100%
USA/CA-ALSR-1566/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1646/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-1560/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1546/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1283/2020,2020-05-05,-47.0,50-75%
USA/CA-ALSR-1743/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1291/2020,2020-05-01,-50.0,25-50%
USA/CA-ALSR-1633/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-1396/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-0902-IPL/2020,2020-04-28,-47.0,50-75%
USA/CA-ALSR-1266/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1228/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1859/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-1397/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1894/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-1144/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1158/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1160/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1280/2020,2020-04-29,-53.0,25-50%
USA/CA-ALSR-0579-SAN/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-1263/2020,2020-05-05,-47.0,50-75%
USA/CA-ALSR-1322/2020,2020-04-29,-53.0,25-50%
USA/CA-ALSR-1324/2020,2020-04-29,-53.0,25-50%
USA/CA-SR0353/2020,2020-04-07,-51.0,25-50%
USA/CA-ALSR-1906/2020,2020-04-16,-58.0,0-25%
USA/CA-ALSR-1023-SAN/2020,2020-04-19,-64.0,0-25%
USA/CA-ALSR-1425/2020,2020-04-19,-64.0,0-25%
USA/CA-ALSR-0753-IPL/2020,2020-05-02,-51.0,25-50%
USA/CA-ALSR-0925-IPL/2020,2020-05-02,-51.0,25-50%
USA/CA-ALSR-1311/2020,2020-04-29,-53.0,25-50%
USA/CA-ALSR-1340/2020,2020-04-29,-53.0,25-50%
USA/CA-ALSR-1495/2020,2020-04-29,-53.0,25-50%
USA/CA-ALSR-1211/2020,2020-04-30,-50.0,25-50%
USA/CA-ALSR-1416/2020,2020-04-20,-59.0,0-25%
USA/CA-ALSR-1512/2020,2020-04-20,-59.0,0-25%
USA/CA-ALSR-0678-IPL/2020,2020-04-28,-47.0,50-75%
USA/CA-CDPH029/2020,2020-05-25,-46.0,50-75%
USA/CA-ALSR-1247/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1189/2020,2020-04-26,-61.0,0-25%
USA/CA-SR0371/2020,2020-04-28,-56.0,0-25%
USA/CA-ALSR-0634-SAN/2020,2020-04-19,-64.0,0-25%
USA/CA-CZB-2294/2020,2020-06-22,-45.0,50-75%
USA/CA-ALSR-1083-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-1132/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1175/2020,2020-04-28,-56.0,0-25%
USA/CA-ALSR-1260/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1242/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1889/2020,2020-05-19,-46.0,50-75%
USA/CA-ALSR-1229/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1186/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1343/2020,2020-05-06,-49.0,25-50%
USA/CA-SR0399/2020,2020-04-20,-59.0,0-25%
USA/CA-ALSR-1614/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-0928-SAN/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-0637-SAN/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1177/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1197/2020,2020-04-23,-58.0,0-25%
USA/CA-CZB-1530/2020,2020-05-01,-48.0,25-50%
USA/CA-ALSR-1003-SAN/2020,2020-04-18,-62.0,0-25%
USA/CA-ALSR-1511/2020,2020-04-19,-64.0,0-25%
USA/CA-ALSR-1092-SAN/2020,2020-06-12,-34.0,75-100%
USA/CA-ALSR-1407/2020,2020-05-08,-49.0,25-50%
USA/CA-ALSR-1255/2020,2020-05-05,-47.0,50-75%
USA/CA-SR0463/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1055-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-0611-SAN/2020,2020-04-17,-60.0,0-25%
USA/CA-CZB-3668/2020,2020-07-02,-11.0,75-100%
USA/CA-CZB-3669/2020,2020-07-02,-11.0,75-100%
USA/CA-IGI-0056/2020,2020-06-17,-46.0,50-75%
USA/CA-ALSR-1056-SAN/2020,2020-06-19,-33.0,75-100%
USA/CA-ALSR-1749/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-1862/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1831/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1826/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1869/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1753/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-0576-SAN/2020,2020-05-11,-49.0,25-50%
USA/CA-SR0364/2020,2020-04-13,-48.0,25-50%
USA/CA-ALSR-1597/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-0577-IPL/2020,2020-05-12,-43.0,50-75%
USA/CA-ALSR-0653-IPL/2020,2020-04-29,-48.0,25-50%
USA/CA-ALSR-0903-IPL/2020,2020-04-29,-48.0,25-50%
USA/CA-ALSR-1094-SAN/2020,2020-06-18,-32.0,75-100%
USA/CA-CZB-1628/2020,2020-05-07,-33.0,75-100%
USA/CA-ALSR-0539-IPL/2020,2020-05-04,-42.0,75-100%
USA/CA-ALSR-0563-SAN/2020,2020-05-09,-49.0,25-50%
USA/CA-ALSR-0559-SAN/2020,2020-05-10,-50.0,25-50%
USA/CA-CDPH032/2020,2020-06-21,-22.0,75-100%
USA/CA-ALSR-1584/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-0993-SAN/2020,2020-04-25,-60.0,0-25%
USA/CA-ALSR-0726-IPL/2020,2020-05-13,-43.0,50-75%
USA/CA-ALSR-1091-SAN/2020,2020-06-12,-34.0,75-100%
USA/CA-ALSR-0570-IPL/2020,2020-05-12,-43.0,50-75%
USA/CA-ALSR-0581-IPL/2020,2020-05-12,-43.0,50-75%
USA/CA-ALSR-1413/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-1248/2020,2020-05-05,-47.0,50-75%
USA/CA-ALSR-1154/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1536/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-1632/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1778/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-0901-SAN/2020,2020-04-30,-50.0,25-50%
USA/CA-ALSR-0729-IPL/2020,2020-05-03,-52.0,25-50%
USA/CA-ALSR-0534-IPL/2020,2020-05-03,-52.0,25-50%
USA/CA-ALSR-1786/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1782/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1779/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-0474-SAN/2020,2020-04-14,-45.0,50-75%
USA/CA-ALSR-0562-SAN/2020,2020-04-28,-56.0,0-25%
USA/CA-ALSR-0538-SAN/2020,2020-04-28,-56.0,0-25%
USA/CA-ALSR-0732-SAN/2020,2020-04-28,-56.0,0-25%
USA/CA-ALSR-0531-SAN/2020,2020-04-28,-56.0,0-25%
USA/CA-ALSR-1074-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-1045-SAN/2020,2020-06-20,-33.0,75-100%
USA/CA-ALSR-1068-SAN/2020,2020-06-14,-33.0,75-100%
USA/CA-IGI-0090/2020,2020-06-18,-44.0,50-75%
USA/CA-ALSR-1060-SAN/2020,2020-06-19,-33.0,75-100%
USA/CA-ALSR-1623/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-0493-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-0981-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-1390/2020,2020-05-06,-49.0,25-50%
USA/CA-ALSR-1793/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-1789/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1388/2020,2020-05-07,-49.0,25-50%
USA/CA-ALSR-1411/2020,2020-05-07,-49.0,25-50%
USA/CA-ALSR-1837/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-1387/2020,2020-05-07,-49.0,25-50%
USA/CA-SR0218/2020,2020-04-17,-60.0,0-25%
USA/CA-ALSR-1736/2020,2020-05-20,-45.0,50-75%
USA/CA-ALSR-1219/2020,2020-04-15,-48.0,25-50%
USA/CA-ALSR-0473-SAN/2020,2020-04-14,-45.0,50-75%
USA/CA-ALSR-1544/2020,2020-05-05,-47.0,50-75%
USA/CA-IGI-0118/2020,2020-06-18,-44.0,50-75%
USA/CA-ALSR-1084-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-1116-SAN/2020,2020-06-17,-32.0,75-100%
USA/CA-SR0176/2020,2020-04-28,-56.0,0-25%
USA/CA-ALSR-1841/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-0505-SAN/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-0907-IPL/2020,2020-04-26,-58.0,0-25%
USA/CA-ALSR-1036-SAN/2020,2020-06-20,-33.0,75-100%
USA/CA-ALSR-1062-SAN/2020,2020-06-19,-33.0,75-100%
USA/CA-ALSR-0845-IPL/2020,2020-04-26,-58.0,0-25%
USA/CA-ALSR-1019-IPL/2020,2020-04-20,-49.0,25-50%
USA/CA-ALSR-0626-IPL/2020,2020-04-20,-49.0,25-50%
USA/CA-ALSR-1649/2020,2020-03-22,-51.0,25-50%
USA/CA-ALSR-1877/2020,2020-05-19,-46.0,50-75%
USA/CA-CDPH033/2020,2020-06-18,-38.0,75-100%
USA/CA-SR0419/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-0778-IPL/2020,2020-04-07,-49.0,25-50%
USA/CA-ALSR-0767-IPL/2020,2020-04-11,-60.0,0-25%
USA/CA-ALSR-1526/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-1533/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-0997-IPL/2020,2020-04-22,-54.0,25-50%
USA/CA-ALSR-0638-IPL/2020,2020-04-21,-52.0,25-50%
USA/CA-ALSR-1028-IPL/2020,2020-04-21,-52.0,25-50%
USA/CA-ALSR-0621-IPL/2020,2020-04-21,-52.0,25-50%
USA/CA-ALSR-0728-IPL/2020,2020-05-14,-43.0,50-75%
USA/CA-ALSR-0663-IPL/2020,2020-04-18,-58.0,0-25%
USA/CA-ALSR-0597-IPL/2020,2020-04-14,-50.0,25-50%
USA/CA-ALSR-0602-IPL/2020,2020-04-14,-50.0,25-50%
USA/CA-ALSR-0760-IPL/2020,2020-04-09,-52.0,25-50%
USA/CA-ALSR-0497-IPL/2020,2020-04-12,-68.0,0-25%
USA/CA-ALSR-0759-IPL/2020,2020-04-12,-68.0,0-25%
USA/CA-ALSR-0608-IPL/2020,2020-04-19,-59.0,0-25%
USA/CA-ALSR-0657-IPL/2020,2020-04-16,-52.0,25-50%
USA/CA-ALSR-0592-IPL/2020,2020-04-14,-50.0,25-50%
USA/CA-ALSR-0580-IPL/2020,2020-05-15,-47.0,50-75%
USA/CA-ALSR-0552-IPL/2020,2020-05-10,-47.0,50-75%
USA/CA-ALSR-1042-SAN/2020,2020-06-20,-33.0,75-100%
USA/CA-SR0341/2020,2020-05-07,-49.0,25-50%
USA/CA-ALSR-1550/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1290/2020,2020-04-30,-50.0,25-50%
USA/CA-ALSR-0754-IPL/2020,2020-04-30,-43.0,50-75%
USA/CA-ALSR-0843-IPL/2020,2020-04-30,-43.0,50-75%
USA/CA-ALSR-0643-IPL/2020,2020-04-29,-48.0,25-50%
USA/CA-ALSR-0899-IPL/2020,2020-04-29,-48.0,25-50%
USA/CA-ALSR-0557-SAN/2020,2020-05-08,-49.0,25-50%
USA/CA-ALSR-0906-IPL/2020,2020-04-27,-47.0,50-75%
USA/CA-ALSR-0660-IPL/2020,2020-04-28,-47.0,50-75%
USA/CA-ALSR-0752-IPL/2020,2020-05-02,-51.0,25-50%
USA/CA-ALSR-0923-IPL/2020,2020-05-02,-51.0,25-50%
USA/CA-ALSR-0771-IPL/2020,2020-04-09,-52.0,25-50%
USA/CA-ALSR-0525-IPL/2020,2020-04-09,-52.0,25-50%
USA/CA-ALSR-1016-IPL/2020,2020-04-22,-54.0,25-50%
USA/CA-ALSR-0631-IPL/2020,2020-04-22,-54.0,25-50%
USA/CA-ALSR-1860/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1058-SAN/2020,2020-06-19,-33.0,75-100%
USA/CA-ALSR-1203/2020,2020-04-23,-58.0,0-25%
USA/CA-CZB-1783/2020,2020-06-02,-55.0,25-50%
USA/CA-ALSR-1689/2020,2020-04-19,-64.0,0-25%
USA/CA-ALSR-1426/2020,2020-04-20,-59.0,0-25%
USA/CA-ALSR-1514/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1156/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-0910-SAN/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1422/2020,2020-04-20,-59.0,0-25%
USA/CA-ALSR-1262/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1277/2020,2020-04-29,-53.0,25-50%
USA/CA-ALSR-1802/2020,2020-05-11,-49.0,25-50%
USA/CA-ALSR-1240/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-1795/2020,2020-05-11,-49.0,25-50%
USA/CA-ALSR-1276/2020,2020-05-04,-48.0,25-50%
USA/CA-ALSR-1314/2020,2020-05-01,-50.0,25-50%
USA/CA-ALSR-1784/2020,2020-05-11,-49.0,25-50%
USA/CA-ALSR-1788/2020,2020-05-11,-49.0,25-50%
USA/CA-ALSR-1570/2020,2020-04-29,-53.0,25-50%
USA/CA-SR0217/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-1567/2020,2020-05-02,-52.0,25-50%
USA/CA-ALSR-1761/2020,2020-05-11,-49.0,25-50%
USA/CA-ALSR-1513/2020,2020-05-11,-49.0,25-50%
USA/CA-ALSR-1148/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1187/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1143/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1904/2020,2020-04-24,-58.0,0-25%
USA/CA-ALSR-1217/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1418/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-1771/2020,2020-05-12,-49.0,25-50%
USA/CA-SR0459/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1801/2020,2020-05-11,-49.0,25-50%
USA/CA-ALSR-1517/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-1785/2020,2020-05-11,-49.0,25-50%
USA/CA-ALSR-1688/2020,2020-04-19,-64.0,0-25%
USA/CA-ALSR-1899/2020,2020-04-21,-58.0,0-25%
USA/CA-SR0236/2020,2020-04-25,-60.0,0-25%
USA/CA-ALSR-1124/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1200/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1903/2020,2020-04-24,-58.0,0-25%
USA/CA-ALSR-1973/2020,2020-04-24,-58.0,0-25%
USA/CA-ALSR-1740/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-1775/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-1816/2020,2020-05-13,-47.0,50-75%
USA/CA-ALSR-1773/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-1827/2020,2020-05-13,-47.0,50-75%
USA/CA-ALSR-1751/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-1515/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-1088-SAN/2020,2020-06-15,-33.0,75-100%
USA/CA-ALSR-0690-SAN/2020,2020-03-26,-45.0,50-75%
USA/CA-ALSR-1596/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1315/2020,2020-04-29,-53.0,25-50%
USA/CA-CZB-3667/2020,2020-07-02,-11.0,75-100%
USA/CA-CZB-3658/2020,2020-07-17,-25.0,75-100%
USA/CA-CZB-3659/2020,2020-07-17,-25.0,75-100%
USA/CA-CZB-3657/2020,2020-07-17,-25.0,75-100%
USA/CA-CZB-3656/2020,2020-07-17,-25.0,75-100%
USA/CA-CZB-3671/2020,2020-08-10,-20.0,75-100%
USA/CA-CZB-3670/2020,2020-08-10,-20.0,75-100%
USA/CA-CZB-3672/2020,2020-08-10,-20.0,75-100%
USA/CA-CZB-3649/2020,2020-07-14,-19.0,75-100%
USA/CA-CZB-3650/2020,2020-07-14,-19.0,75-100%
USA/CA-CZB-3651/2020,2020-07-14,-19.0,75-100%
USA/CA-CZB-3655/2020,2020-07-17,-25.0,75-100%
USA/CA-CZB-3661/2020,2020-07-06,-13.0,75-100%
USA/CA-CZB-3662/2020,2020-07-06,-13.0,75-100%
USA/CA-CZB-3665/2020,2020-07-06,-13.0,75-100%
USA/CA-CZB-3660/2020,2020-07-06,-13.0,75-100%
USA/CA-CZB-3648/2020,2020-07-06,-13.0,75-100%
USA/CA-CZB-3666/2020,2020-07-07,-14.0,75-100%
USA/CA-CZB-3663/2020,2020-07-06,-13.0,75-100%
USA/CA-CZB-3664/2020,2020-07-06,-13.0,75-100%
USA/CA-ALSR-1558/2020,2020-05-11,-49.0,25-50%
USA/CA-ALSR-1776/2020,2020-05-28,-42.0,75-100%
USA/CA-ALSR-1972/2020,2020-06-25,-32.0,75-100%
USA/CA-ALSR-1949/2020,2020-06-25,-32.0,75-100%
USA/CA-ALSR-0571-IPL/2020,2020-05-11,-46.0,50-75%
USA/CA-ALSR-1272/2020,2020-05-07,-49.0,25-50%
USA/CA-ALSR-0567-IPL/2020,2020-05-11,-46.0,50-75%
USA/CA-ALSR-1612/2020,2020-05-19,-46.0,50-75%
USA/CA-ALSR-1101-SAN/2020,2020-06-16,-32.0,75-100%
USA/CA-OHSU-0857/2020,2020-06-26,-24.0,75-100%
USA/CA-CDPH037/2020,2020-06-24,-9.0,75-100%
USA/CA-OHSU-0925/2020,2020-06-29,-17.0,75-100%
USA/CA-ALSR-1610/2020,2020-05-19,-46.0,50-75%
USA/CA-CZB-2503/2020,2020-05-25,-45.0,50-75%
USA/CA-CZB-2499/2020,2020-05-21,-41.0,75-100%
USA/CA-CZB-2497/2020,2020-05-21,-41.0,75-100%
USA/CA-CDPH027/2020,2020-05-21,-33.0,75-100%
USA/CA-CZB-2285/2020,2020-06-19,-45.0,50-75%
USA/CA-CZB-2293/2020,2020-06-19,-45.0,50-75%
USA/CA-CZB-2289/2020,2020-06-19,-45.0,50-75%
USA/CA-CZB-2286/2020,2020-06-19,-45.0,50-75%
USA/CA-CZB-2292/2020,2020-06-19,-45.0,50-75%
USA/CA-CZB-2284/2020,2020-06-19,-45.0,50-75%
USA/CA-CZB-2296/2020,2020-06-21,-48.0,25-50%
USA/CA-ALSR-1222/2020,2020-04-12,-65.0,0-25%
USA/CA-ALSR-0607-IPL/2020,2020-04-19,-59.0,0-25%
USA/CA-ALSR-1502/2020,2020-04-19,-64.0,0-25%
USA/CA-ALSR-1032-IPL/2020,2020-04-19,-59.0,0-25%
USA/CA-CZB-2498/2020,2020-05-21,-41.0,75-100%
USA/CA-ALSR-0998-IPL/2020,2020-04-22,-54.0,25-50%
USA/CA-ALSR-1585/2020,2020-04-22,-57.0,0-25%
USA/CA-ALSR-1021-IPL/2020,2020-04-22,-54.0,25-50%
USA/CA-ALSR-0645-IPL/2020,2020-04-22,-54.0,25-50%
USA/CA-ALSR-1756/2020,2020-05-20,-45.0,50-75%
USA/CA-ALSR-0757-IPL/2020,2020-05-12,-43.0,50-75%
USA/CA-ALSR-0568-SAN/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-0558-IPL/2020,2020-05-10,-47.0,50-75%
USA/CA-ALSR-0662-IPL/2020,2020-04-29,-48.0,25-50%
USA/CA-ALSR-1289/2020,2020-04-30,-43.0,50-75%
USA/CA-ALSR-1538/2020,2020-04-30,-50.0,25-50%
USA/CA-CSMC85/2020,2020-04-03,-43.0,50-75%
USA/CA-CSMC38/2020,2020-04-02,-43.0,50-75%
USA/CA-CSMC53/2020,2020-03-31,-42.0,75-100%
USA/CA-SCCPHD-UC183/2020,2020-03-15,-31.0,75-100%
USA/CA-CSMC119/2020,2020-04-04,-50.0,25-50%
USA/CA-CSMC113/2020,2020-03-21,-48.0,25-50%
USA/CA-CSMC99/2020,2020-03-21,-48.0,25-50%
USA/CA-IGI-0006/2020,2020-05-14,-54.0,25-50%
USA/CA-IGI-0134/2020,2020-05-19,-51.0,25-50%
USA/CA-ALSR-1075-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-CZB-1196/2020,2020-03-28,-63.0,0-25%
USA/CA-CZB-2015/2020,2020-04-30,-52.0,25-50%
USA/CA-CZB-1570/2020,2020-04-06,-43.0,50-75%
USA/CA-CZB-1541/2020,2020-04-22,-56.0,0-25%
USA/CA-CZB-1537/2020,2020-04-24,-55.0,25-50%
USA/CA-CZB-1536/2020,2020-04-26,-55.0,25-50%
USA/CA-CZB-1414/2020,2020-03-15,-17.0,75-100%
USA/CA-CDPH012/2020,2020-03-24,-43.0,50-75%
USA/CA-CSMC81/2020,2020-04-03,-43.0,50-75%
USA/CA-CSMC14/2020,2020-03-23,-42.0,75-100%
USA/CA-SR0367/2020,2020-04-04,-52.0,25-50%
USA/CA-ALSR-1534/2020,2020-05-08,-49.0,25-50%
USA/CA-SR0237/2020,2020-04-25,-60.0,0-25%
USA/CA-ALSR-0532-SAN/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-0680-SAN/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-0800-SAN/2020,2020-03-30,-42.0,75-100%
USA/CA-ALSR-0502-SAN/2020,2020-04-14,-45.0,50-75%
USA/CA-ALSR-0584-SAN/2020,2020-04-14,-45.0,50-75%
USA/CA-ALSR-1018-SAN/2020,2020-04-18,-62.0,0-25%
USA/CA-ALSR-1029-SAN/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1573/2020,2020-05-13,-47.0,50-75%
USA/CA-SCCPHD-UC104/2020,2020-02-28,2.0,75-100%
USA/CA-CSMC7/2020,2020-03-26,-43.0,50-75%
USA/CA-SCCPHD-UC119/2020,2020-03-03,6.0,75-100%
USA/CA-SCCPHD-UC178/2020,2020-03-13,-9.0,75-100%
USA/CA-CSMC87/2020,2020-03-25,-43.0,50-75%
USA/CA-CZB030/2020,2020-03-24,-70.0,0-25%
USA/CA-CSMC74/2020,2020-03-25,-43.0,50-75%
USA/CA-CSMC2/2020,2020-03-26,-43.0,50-75%
USA/CA-CSMC63/2020,2020-03-27,-45.0,50-75%
USA/CA-SR0244/2020,2020-03-27,-45.0,50-75%
USA/CA-CSMC41/2020,2020-03-29,-51.0,25-50%
USA/CA-CZB-1198/2020,2020-03-27,-56.0,0-25%
USA/CA-CSMC17/2020,2020-03-27,-45.0,50-75%
USA/CA-CZB-1522/2020,2020-05-07,-46.0,50-75%
USA/CA-CSMC18/2020,2020-03-24,-43.0,50-75%
USA/CA-ALSR-1682/2020,2020-03-24,-43.0,50-75%
USA/CA-ALSR-1651/2020,2020-03-24,-43.0,50-75%
USA/CA-ALSR-1685/2020,2020-03-24,-43.0,50-75%
USA/CA-CSMC27/2020,2020-03-25,-43.0,50-75%
USA/CA-CSMC15/2020,2020-03-27,-45.0,50-75%
USA/CA-SR0230/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1456/2020,2020-03-26,-45.0,50-75%
USA/CA-ALSR-1441/2020,2020-03-27,-45.0,50-75%
USA/CA-CDPH034/2020,2020-06-18,-11.0,75-100%
USA/CA-CSMC11/2020,2020-03-31,-42.0,75-100%
USA/CA-SR0222/2020,2020-04-14,-45.0,50-75%
USA/CA-CSMC45/2020,2020-03-30,-42.0,75-100%
USA/CA-SR0355/2020,2020-04-02,-44.0,50-75%
USA/CA-ALSR-1587/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1188/2020,2020-04-27,-56.0,0-25%
USA/CA-SCCPHD-UC187/2020,2020-03-06,-4.0,75-100%
USA/CA-CZB-1592/2020,2020-03-25,-34.0,75-100%
USA/CA-CZB-1597/2020,2020-03-26,-32.0,75-100%
USA/CA-CZB-1596/2020,2020-03-26,-32.0,75-100%
USA/CA-CDPH020/2020,2020-03-06,1.0,75-100%
USA/CA-CZB-1579/2020,2020-03-17,-10.0,75-100%
USA/CA-SR0177/2020,2020-03-18,-33.0,75-100%
USA/CA-CZB-2050/2020,2020-04-20,-43.0,50-75%
USA/CA-CZB-2049/2020,2020-04-20,-43.0,50-75%
USA/CA-CZB-1627/2020,2020-05-07,-33.0,75-100%
USA/CA-CZB-1626/2020,2020-05-07,-33.0,75-100%
USA/CA-ALSR-0820-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-CZB-1887/2020,2020-04-16,-58.0,0-25%
